d1	d2	d3	d4	d5	d6
世界の本２４　西安・雲南・シルクロード１２０ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	日地出版, 	ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	290.9 ﾋ 24 一般書架	ISBN:  RGTN: 30338 受入日: 19961115
恋はきまぐれ　／新・ちくま文学の森　１	筑摩書房	筑摩書房, 	新・ちくま文学の森　１	908 ﾁ 1 一般書架	ISBN: 9784-480101211 RGTN: 30452 受入日: 19961209
からだの発見　／新・ちくま文学の森　８	筑摩書房	筑摩書房, 	新・ちくま文学の森　８	908 ﾁ 8 一般書架	ISBN: 9784-480101280 RGTN: 30459 受入日: 19961209
仁木兄妹の探偵簿　／雄太郎・悦子の全事件　\x87@兄の巻	仁木　悦子	出版芸術社, 		913.6 ﾆｷ 兄 一般書架	ISBN: 9784-882931287 RGTN: 30474 受入日: 19961211
仁木兄妹の探偵簿　／雄太郎・悦子の全事件　\x87A妹の巻	仁木　悦子	出版芸術社, 		913.6 ﾆｷ 妹 一般書架	ISBN: 9784-882931294 RGTN: 30475 受入日: 19961211
賢治先生	長野　まゆみ	河出書房新社, 		913.6 ﾅｶﾞ  一般書架	ISBN: 9784-309010151 RGTN: 30487 受入日: 19961213
爆笑　北欧神話　／歴史人物笑史／	シブサワ　コウ．編	光栄, 	歴史人物笑史	164.3 ｼ  一般書架	ISBN: 9784-877192419 RGTN: 30493 受入日: 19961213
和菓子屋の息子　／ある自伝的試み	小林　信彦	新潮社, 		289.1 ｺﾉ  一般書架	ISBN: 9784-103318217 RGTN: 30506 受入日: 19961213
看護婦入門ハンドブック　／これからのナースが見えてくる資格と仕事の必携ガイド　【改訂新版】	大木　節子／高木　裕	オーエス出版, 	やりがいのライセンス	498.14 ｵｾ  一般書架	ISBN: 9784-871907224 RGTN: 30604 受入日: 19970110
科学を感じる　あそび事典／したいさせさせたいビックリ実験１００集	山田　卓三．文／トミタ・イチロー．絵／	農山漁村文化協会, 		407 ﾔﾀ  一般書架	ISBN: 9785-540960632 RGTN: 30606 受入日: 19970128
字通	白川　静	平凡社, 	辞典	813.2 ｼｼ  一般書架	ISBN: 9784-582128048 RGTN: 30612 受入日: 19970114
古事記　／少年少女古典文学館　１	橋本　治	講談社, 	少年少女古典文学館　１	918 ｺ 1 一般書架	ISBN: 9784-062508018 RGTN: 30799 受入日: 19970401
日本社会の歴史　（上）	網野　善彦	岩波書店, 	岩波新書Ｒ５００	210.1 ｱﾐ 上 新書書架	ISBN: 9784-004305002 RGTN: 30964 受入日: 19970513
生真面目な心臓	永井　明	角川書店, 		913.6 ﾅ  	ISBN: 9784-048728690 RGTN: 31053 受入日: 19970606
西洋魔物図鑑	江口　之隆	翔泳社, 		147.6 ｴ  	ISBN: 9784-881354186 RGTN: 31066 受入日: 19970606
アメリカ日常生活のマナーＱ＆Ａ　【対訳】	ジェームズ・Ｍ・バーダマン／倫子・バーダマン	講談社インターナショナル, 	Bilingual Books	837.8 ﾊﾞ  一般書架	ISBN: 9784-770021281 RGTN: 31075 受入日: 19970606
花のチカラ	辰宮　太一．監修／山田　真理．文／近藤　正一／山口　規子．写真	文藝春秋, 		471.7 ﾔﾏ  	ISBN: 9785-163635009 RGTN: 31170 受入日: 19970627
算数・数学なっとく事典	数学教育協議会／銀林　浩．編	日本評論社, 		410.7 ｽ  一般書架	ISBN: 9784-535782105 RGTN: 31264 受入日: 19970718
算数・数学なぜなぜ事典	数学教育協議会／銀林　浩．編	日本評論社, 		410.7 ｽ  一般書架	ISBN: 9784-535781979 RGTN: 31273 受入日: 19970820
深くておいしい小説の書き方　／Ｗ大學文芸科創作教室	三田　誠広	朝日ソノラマ, 		901.3 ﾐﾀ  西高100冊	ISBN: 9784-257034612 RGTN: 31285 受入日: 19970820
八十八年の歩み　／渓泉学園・多治見西高等学校	多治見西高等学校	多治見西高等学校, 	写真集	376.43 ﾀ 1 一般書架	ISBN:  RGTN: 31507 受入日: 19971031
中世都市鎌倉を歩く　--源頼朝から上杉謙信まで--	松尾　剛次	中央公論社, 	中公新書１３９２	210.4 ﾏﾂ  新書書架	ISBN: 9784-121013927 RGTN: 31631 受入日: 19971205
源氏の男はみんなサイテー　／親子小説としての源氏物語	大塚　ひかり	マガジンハウス, 		913.36 ｵ  一般書架	ISBN: 9784-838709359 RGTN: 31660 受入日: 19971219
弔辞	新藤　兼人	岩波書店, 	岩波新書Ｒ５４７	281 ｼﾝ  新書書架	ISBN: 9784-004305477 RGTN: 31890 受入日: 19980306
それでも吐き続けた私　／過食症を克服した２９歳の記録	冨田　香里	講談社, 		493.7 ﾄｶ  	ISBN: 9784-062085472 RGTN: 32018 受入日: 19980413
パルステラ　--東逸子画集--	東　逸子	サンリオ, 	画集	726.5 ｱ  	ISBN:  RGTN: 32080 受入日: 19980427
フランス童話集　\x87V　／美女と野獣	ボーモン夫人／中島　和子．訳	東洋文化社, 	世界民話童話翻訳ｼﾘｰｽﾞ１７	908 ﾄ 17 一般書架	ISBN:  RGTN: 32117 受入日: 19980508
書く前に読もう超明解文学史　／Ｗ大學文芸科創作教室	三田　誠広	朝日ソノラマ, 		910.2 ﾐﾀ  西高100冊	ISBN: 9784-257034926 RGTN: 32227 受入日: 19980616
アメリカの小学生はどう英語を覚えるか	メアリーベス・スーザ	はまの出版, 		375.89 ｽ  一般書架	ISBN: 9784-893612588 RGTN: 32231 受入日: 19980622
謡曲集　〈下〉　／日本古典文学大系　４１	後藤　丹治．他	岩波書店, 	日本古典文学大系　４１	912.3 ﾖﾏ 41 一般書架	ISBN:  RGTN: 3230 受入日: 19630219
くりやのくりごと : リンボウ先生家事を論ず	林　望	筑摩書房, 		914.6 ﾊﾔ  西高100冊	ISBN: 9784-093453318 RGTN: 32342 受入日: 19980707
岩波＝ケンブリッジ　世界人名辞典	ディヴィッド・クリスタル．編／金子　雄司．他訳	岩波書店, 	辞典	280.3 ｸ  一般書架	ISBN: 9784-000800884 RGTN: 32350 受入日: 19980707
千畝　／一万人の命を救った外交官・杉原千畝の謎	ヒレル・レビン．著／諏訪　澄／篠　輝久．監修・訳	清水書院, 		289.1 ｽﾁ  	ISBN: 9784-389500351 RGTN: 32479 受入日: 19980918
果つる底なき	池井戸潤 著	講談社, 		913.6 ｲｹ  一般書架	ISBN: 9784-062093675 RGTN: 32547 受入日: 19981005
算数・数学ランド　／おもしろ探検事典／疑問が解けて好きになれる	仲田　紀夫	評論社, 		410 ﾅﾉ  一般書架	ISBN: 9784-566034075 RGTN: 32563 受入日: 19981012
小説「聖書」新約篇	ウォルター・ワンゲリン／仲村　明子．訳	徳間書店, 		193.5 ﾜ  	ISBN: 9784-198608699 RGTN: 32581 受入日: 19981016
刑事たちの夏	久間十義 著	日本経済新聞社, 		913.6 ﾋｻ  一般書架	ISBN: 9784-532170554 RGTN: 32675 受入日: 19981117
ホームズの名推理・ベスト５　［ルビ訳］	コナン・ドイル	講談社インターナショナル, 	Ｒｕｂｙ　Ｂｏｏｋｓ	837.7 ﾄﾞ  一般書架	ISBN: 9784-770023704 RGTN: 32824 受入日: 19990107
老人と海　［ルビ訳］	アーネスト・ヘミングウェイ	講談社インターナショナル, 	Ｒｕｂｙ　Ｂｏｏｋｓ	837.7 ﾍ  一般書架	ISBN: 9784-770023735 RGTN: 32939 受入日: 19990208
江戸化物草紙	アダム・カバット．校注	小学館, 		913.55 ｶ  	ISBN: 9784-093621113 RGTN: 32957 受入日: 19990219
ぼくがすすめるがん治療	近藤　誠	文藝春秋, 		498.14 ﾌｺ  一般書架	ISBN: 9784-163548005 RGTN: 33052 受入日: 19990325
本当は恐ろしいグリム童話	桐生　操	ＫＫベストセラーズ, 		943 ｸﾞ 1 	ISBN:  RGTN: 33074 受入日: 19990325
英語で話す「仏教」Ｑ＆Ａ　【対訳】	ジェームズ・Ｍ・バーダマン．訳　／高田　佳人	講談社インターナショナル, 	Bilingual Books	837.8 ﾀ  一般書架	ISBN: 9784-770021618 RGTN: 33081 受入日: 19990325
旅の韓国語会話	Ｋ＆Ｂパブリッシャーズ	Ｋ＆Ｂパブリッシャーズ, 	個人旅行ハンドブック　７	829.1 ｸ  	ISBN: 9784-398215574 RGTN: 33107 受入日: 19990412
戦国合戦の常識が変わる本	藤本　正行	洋泉社, 		210.47 ﾌﾏ  一般書架	ISBN: 9784-896913699 RGTN: 33140 受入日: 19990415
朝鮮語辞典	小学館／韓国・金星出版社	小学館, 	辞典	829.13 ｼ  一般書架	ISBN: 9784-095157016 RGTN: 33157 受入日: 19990419
海外旅行の英会話　／快適マニュアル	石橋　眞知子	ジャパンタイムズ, 		837.8 ｲ  一般書架	ISBN: 9784-789009478 RGTN: 33173 受入日: 19990426
幻獣辞典	ホルヘ・ルイス・ボルヘス／マルガリータ・ゲレロ／柳瀬　尚紀．訳	晶文社, 		147.6 ﾎﾞ  	ISBN: 9784-794912657 RGTN: 33185 受入日: 19990507
世界犯罪百科全書	オリヴァー・サイリャックス／柳下　毅一郎．訳	原書房, 		326.3 ｻ  一般書架	ISBN: 9784-562028634 RGTN: 33190 受入日: 19990507
驚異の小宇宙　／人体　Ｑ＆Ａ	日本放送出版協会／ＮＨＫ取材班．編／多田　富雄．監修	日本放送出版協会, 	ＮＨＫサイエンススペシャル	491.1 ｴ  一般書架	ISBN: 9784-140086957 RGTN: 33203 受入日: 19990511
動物看護士・トリマーになるには	井上　こみち	ぺりかん社, 	なるにはＢｏｏｋｓ　９０	366.2 ﾅﾙ 90 別置　キャリア教育	ISBN: 9784-831508102 RGTN: 33301 受入日: 19990607
フードコーディネーターになるには	藤原　勝子	ぺりかん社, 	なるにはＢｏｏｋｓ　９３	366.2 ﾅﾙ 93 別置　キャリア教育	ISBN: 9784-831508546 RGTN: 33302 受入日: 19990607
イベントプロデューサーになるには	とりはた　ともこ	ぺりかん社, 	なるにはＢｏｏｋｓ　７８	366.2 ﾅﾙ 78 別置　キャリア教育	ISBN: 9784-831506757 RGTN: 33303 受入日: 19990607
料理人になるには	大阪あべの辻調理師専門学校．編	ぺりかん社, 	なるにはBooks  14	366.2 ﾅﾙ 14 一般書架	ISBN: 9784-831506955 RGTN: 33304 受入日: 19990607
悲しみのゴンドラ	Ｔ・トランストロンメル／エイコ・デューク．訳	思潮社, 		949.81 ﾄ  一般書架	ISBN: 9784-783728474 RGTN: 33371 受入日: 19990625
天声人語 ９９春　［英文対照］	朝日新聞論説委員室／朝日ｲﾌﾞﾆﾝｸﾞﾆｭｰｽ．訳	原書房, 	第１１６集	837.5 ｱｻ 116 一般書架	ISBN:  RGTN: 33480 受入日: 19990717
きれいなお城の残酷な話　／ベスト版	桐生　操	大和書房, 		913.6 ｷ  	ISBN: 9784-479750406 RGTN: 33486 受入日: 19990719
カラフル	森　絵都	理論社, 		913.6 ﾓﾘ  一般書架	ISBN:  RGTN: 33743 受入日: 19991105
ほっこりぽくぽく上方さんぽ	田辺聖子 著	文藝春秋, 		914.6 ﾀﾅ  一般書架	ISBN: 9784-163554808 RGTN: 33744 受入日: 19991105
ことわざ便利辞典　／キーワードからすぐ引ける	丹野　顕	日本実業出版社, 		388.8 ﾀ  一般書架	ISBN:  RGTN: 33748 受入日: 19991105
どうするあなたなら　家族	朝日新聞社会部	朝日新聞社, 		367.3 ｱｻ  一般書架	ISBN: 9784-022574145 RGTN: 33769 受入日: 19961116
週刊　聖書　総集編	なあぷる	なあぷる, 		193 ｼ  	ISBN:  RGTN: 33875 受入日: 19991215
巷説百物語	京極夏彦 著	角川書店, 		913.6 ｷﾖ  一般書架	ISBN: 9784-048731638 RGTN: 33886 受入日: 19991220
ソムリエ・バーテンダーになるには	大阪あべの辻調理師専門学校．編	ぺりかん社, 	なるにはＢｏｏｋｓ　９５	366.2 ﾅﾙ 95 別置　キャリア教育	ISBN: 9784-831508768 RGTN: 33896 受入日: 19991222
韓国骨董入門　／「李朝」をたずねる	上野　善弘／村山　武．監修／淡交社	中央公論社, 	淡交ムック	709.21 ﾀ  一般書架	ISBN: 9784-473020253 RGTN: 33951 受入日: 20000125
韓国のおばちゃんはえらい!	渡邉真弓 著	晶文社, 		914.6 ﾜﾀ  一般書架	ISBN: 9784-794964229 RGTN: 34015 受入日: 20000218
英語で意見・考えを言える表現２４００	星加　和美／石津　ジュディス	ベレ出版, 		836 ﾎ  一般書架	ISBN: 9784-939076206 RGTN: 34018 受入日: 20000222
ひよこの脳みそ　／言葉の辞典	古嶋　美加	朱鳥社, 		810.4 ﾌ  一般書架	ISBN: 9784-434000232 RGTN: 34019 受入日: 20000222
日本の歴史　【５】　戦国の世	今谷　明	岩波書店, 	岩波ｼﾞｭﾆｱ新書３３５	210.08 ｲ 5 新書書架	ISBN:  RGTN: 34047 受入日: 20000803
操作されるイノチ・複製されるワタシ　／ＳＦみたい！な生命科学の話	高木　美也子	ＰＨＰ研究所, 		467 ﾀﾐ  一般書架	ISBN: 9784-569604831 RGTN: 34049 受入日: 20000303
金大中平和統一論	金　大中アジア太平洋平和財団．著／波佐場　清．訳	朝日新聞社, 		221.07 ｷ  一般書架	ISBN: 9784-022574718 RGTN: 34054 受入日: 20000306
長崎ぶらぶら節	なかにし　礼	文藝春秋, 		913.6 ﾅｶ  一般書架	ISBN: 9784-163188201 RGTN: 34057 受入日: 20000306
どすこい(仮)	京極夏彦 著	集英社, 		913.6 ｷﾖ  一般書架	ISBN: 9784-087744149 RGTN: 34063 受入日: 20000313
ＬＯＶＥ論　／あなたのいいトコ探します	つんく	新潮社, 		767.84 ﾂ  一般書架	ISBN: 9784-104343010 RGTN: 34065 受入日: 20000313
私のギリシャ神話	阿刀田　高	日本放送出版協会, 		164.31 ｱ  一般書架	ISBN: 9784-140804902 RGTN: 34080 受入日: 20000315
英会話　自遊自在　／日本を話す	ＪＴＢ出版事業局／るるぶ社	ＪＴＢ, 	ひとり歩きの会話集１４	837.8 ｼﾞ  一般書架	ISBN: 9784-533019937 RGTN: 34082 受入日: 20000315
働く女	群ようこ 著	集英社, 		913.6 ﾑﾚ  一般書架	ISBN: 9784-087744446 RGTN: 34088 受入日: 20000317
アジアのこころ	葉　祥明．文・絵	自由国民社, 	絵本	726.5 ﾖ  一般書架	ISBN:  RGTN: 34113 受入日: 20000410
お話のすむ家	ミンダルト・ヴィンストラ．作／バッブス・ヴィンストラ．絵／小林　たん子．訳	偕成社, 	本の森２	949.3 ｳﾞ  一般書架	ISBN: 9784-039672209 RGTN: 34120 受入日: 20000411
犬のウィリーとその他おおぜい	ペネロピ・ライヴリー 作、神宮輝夫 訳	理論社, 		933.7 ﾗｲ  一般書架	ISBN: 9784-652071656 RGTN: 34124 受入日: 20000411
文学私記	竹西寛子 著	青土社, 		910.4 ﾀｹ  一般書架	ISBN:   RGTN: 34144 受入日: 20000412
ブロディーの報告書	ホルヘ・ルイス・ボルヘス [著]、鼓直 訳	白水社, 	白水Uブックス ; 53	963 ﾎﾞﾙ  新書書架	ISBN: 9784-560070536 RGTN: 34145 受入日: 20000412
意識は科学で解き明かせるか : 脳・意志・心に挑む物理学	天外伺朗 茂木健一郎 著	講談社, 	ブルーバックス	491.3 ﾃﾝ  新書書架	ISBN: 9784-062572859 RGTN: 34151 受入日: 20020412
マンハッタンの怪人	フレデリック・フォーサイス 著、篠原慎 訳	角川書店, 		933.7 ﾌｫ  一般書架	ISBN: 9784-047913400 RGTN: 34164 受入日: 20000417
犬さんちの　猫あそび百珍	犬童　光範	第三文明社, 		914.6 ｲ  一般書架	ISBN:  RGTN: 34166 受入日: 20000417
ティッピング・ポイント : いかにして「小さな変化」が「大きな変化」を生み出すか	マルコム・グラッドウェル 著、高橋啓 訳	飛鳥新社, 		936 ｸﾞﾗ  一般書架	ISBN: 9784-870313941 RGTN: 34170 受入日: 20000421
捜神記	干　宝／竹田　晃．訳	平凡社, 	平凡社ライブラリー	923.4 ｶﾝ  文庫書架	ISBN: 9784-582763225 RGTN: 34175 受入日: 20000428
中国「戯れ歌」ウォッチング	南雲　智	ごま書房, 		222.077 ﾅｻ  一般書架	ISBN: 9784-846000790 RGTN: 34179 受入日: 19940603
器物語　--知っておきたい食器の話--	ノリタケ食文化研究会．編	中日新聞社, 		596.9 ﾉ  一般書架	ISBN: 9784-806204008 RGTN: 34195 受入日: 20000512
五体不満足	乙武　洋匡	講談社, 		913.6 ｵ  	ISBN: 9784-062091541 RGTN: 34211 受入日: 20000516
調べ学習　ガイドブック　／なにをどこで調べるか	神林　照道．監修／尾崎　茂／阿部　純子／	ポプラ社, 	図鑑	002 ｶﾃ  一般書架	ISBN: 9784-591993224 RGTN: 34213 受入日: 20000516
お金の大切さがわかる本　３／ものの値段はどうやって決まるの？　／流通のしくみ	永井　進．編	ポプラ社, 	お金の大切さがわかる本　３	675 ﾅｽ  一般書架	ISBN: 9784-591059562 RGTN: 34216 受入日: 20000516
「星の王子さま」の誕生 : サン=テグジュペリとその生涯	ナタリー・デ・ヴァリエール 著、山崎庸一郎 監修、南條郁子 訳	創元社, 	「知の再発見」双書 ; 89	950.2 ﾃﾞｳﾞ  一般書架	ISBN: 9784-422211497 RGTN: 34242 受入日: 20000506
オオカミウルフは名コック	ジェニー・ニモ 作、デイヴィド・W.ミルウォード 絵、安藤紀子 訳	偕成社, 	本の森 ; 5	933.7 ﾆﾓ  一般書架	ISBN: 9784-039672506 RGTN: 34246 受入日: 20000526
すいがらとバラと	ヴィヴェッカ・レルン 作、イェシカ・パルムグレン 絵、菱木晃子 訳	偕成社, 	本の森 ; 3	949.8 ﾚﾙ  一般書架	ISBN: 9784-039672308 RGTN: 34247 受入日: 20000526
ゴールデンハート	ウルフ・スタルク 作、マリアンネ・エンクヴィスト 絵、オスターグレン晴子 訳	偕成社, 	本の森 ; 6	949.8 ｽﾀ  一般書架	ISBN: 9784-039672605 RGTN: 34250 受入日: 20000526
